100	2	2.63644
100	4	0.969739
100	8	0.312882
100	16	0.248873
100	32	0.273271
100	64	0.134912
100	128	0.469974
100	256	1.36
100	512	3.2312
100	1024	6.87169
100	2048	14.2707
1000	2	0.409078
1000	4	0.0683331
1000	8	0.51276
1000	16	0.012559
1000	32	0.332534
1000	64	0.288866
1000	128	0.00410301
1000	256	0.0800977
1000	512	0.0547535
1000	1024	0.310001
1000	2048	1.00802
10000	2	0.212104
10000	4	0.24362
10000	8	0.489794
10000	16	0.321187
10000	32	0.0541879
10000	64	0.169882
10000	128	0.0392318
10000	256	0.068793
10000	512	0.11131
10000	1024	0.0145805
10000	2048	0.0159956
100000	2	0.260633
100000	4	0.342278
100000	8	1.12317
100000	16	0.361368
100000	32	0.15775
100000	64	0.0563733
100000	128	0.0704118
100000	256	0.0471392
100000	512	0.0709768
100000	1024	0.0346761
100000	2048	0.0343177
1000000	2	0.51276
1000000	4	0.0220544
1000000	8	0.0866357
1000000	16	0.340022
1000000	32	0.198967
1000000	64	0.176194
1000000	128	0.101958
1000000	256	0.0669771
1000000	512	0.0413501
1000000	1024	0.0404823
1000000	2048	0.0202223
10000000	2	0.61361
10000000	4	0.255257
10000000	8	0.269726
10000000	16	1.50354
10000000	32	0.0103976
10000000	64	0.0592122
10000000	128	0.054627
10000000	256	0.0155988
10000000	512	0.0583522
10000000	1024	0.0182861
10000000	2048	0.0149912
100000000	2	0.225467
100000000	4	0.191589
100000000	8	0.082035
100000000	16	0.283669
100000000	32	0.271028
100000000	64	0.0359479
100000000	128	0.0892034
100000000	256	0.0649355
100000000	512	0.136221
100000000	1024	0.03378
100000000	2048	0.0179275
1000000000	2	0.380374
1000000000	4	0.483645
1000000000	8	0.436703
1000000000	16	0.436703
1000000000	32	0.380374
1000000000	64	0.291856
1000000000	128	0.325577
1000000000	256	0.273698
1000000000	512	0.343442
1000000000	1024	0.308525
1000000000	2048	0.324859
